symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-L / 100km,highway-mpg,price,price-binned
1,118,dodge,gas,turbo,two,hatchback,fwd,front,93.7,0.7764067127344522,0.8898186889818688,0.8494983277591973,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,9.791666666666666,30,7957,Low
1,148,dodge,gas,std,four,hatchback,fwd,front,93.7,0.7764067127344522,0.8898186889818688,0.8461538461538463,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,7.580645161290323,38,6229,Low
1,148,dodge,gas,std,four,sedan,fwd,front,93.7,0.7764067127344522,0.8898186889818688,0.8461538461538463,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,7.580645161290323,38,6692,Low
1,148,dodge,gas,std,four,sedan,fwd,front,93.7,0.7764067127344522,0.8898186889818688,0.8461538461538463,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,7.580645161290323,38,7609,Low
-1,110,dodge,gas,std,four,wagon,fwd,front,103.3,0.861796643632774,0.9009762900976289,1.0,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88,5000,9.791666666666666,30,8921,Low
3,145,dodge,gas,turbo,two,hatchback,fwd,front,95.9,0.8548864758144126,0.9246861924686192,0.8394648829431439,2811,ohc,four,156,mfi,3.60,3.90,7.0,145,5000,12.368421052631579,24,12964,Low
2,137,honda,gas,std,two,hatchback,fwd,front,86.6,0.7137216189536032,0.8912133891213389,0.8494983277591973,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58,4800,4.795918367346939,54,6479,Low
2,137,honda,gas,std,two,hatchback,fwd,front,86.6,0.7137216189536032,0.8912133891213389,0.8494983277591973,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,7.580645161290323,38,6855,Low
1,101,honda,gas,std,two,hatchback,fwd,front,93.7,0.7403751233958539,0.8926080892608089,0.8795986622073579,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60,5500,6.184210526315789,42,5399,Low
1,101,honda,gas,std,two,hatchback,fwd,front,93.7,0.7403751233958539,0.8926080892608089,0.8795986622073579,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,7.833333333333333,34,6529,Low
1,101,honda,gas,std,two,hatchback,fwd,front,93.7,0.7403751233958539,0.8926080892608089,0.8795986622073579,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,7.833333333333333,34,7129,Low
0,110,honda,gas,std,four,sedan,fwd,front,96.5,0.8065153010858835,0.8926080892608089,0.911371237458194,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,7.833333333333333,34,7295,Low
0,78,honda,gas,std,four,wagon,fwd,front,96.5,0.7754195459032577,0.8912133891213389,0.9749163879598662,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76,6000,7.833333333333333,34,7295,Low
0,106,honda,gas,std,two,hatchback,fwd,front,96.5,0.8267522211253702,0.9093444909344491,0.8913043478260869,2236,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,8.703703703703704,33,7895,Low
0,106,honda,gas,std,two,hatchback,fwd,front,96.5,0.8267522211253702,0.9093444909344491,0.8913043478260869,2289,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,8.703703703703704,33,9095,Low
0,85,honda,gas,std,four,sedan,fwd,front,96.5,0.8657453109575519,0.9093444909344491,0.9046822742474917,2304,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,8.703703703703704,33,8845,Low
0,85,honda,gas,std,four,sedan,fwd,front,96.5,0.8657453109575519,0.8716875871687587,0.9046822742474917,2372,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,8.703703703703704,33,10295,Low
0,85,honda,gas,std,four,sedan,fwd,front,96.5,0.8657453109575519,0.9093444909344491,0.9046822742474917,2465,ohc,four,110,mpfi,3.15,3.58,9.0,101,5800,9.791666666666666,28,12945,Low
1,107,honda,gas,std,two,sedan,fwd,front,96.5,0.8346495557749259,0.9205020920502092,0.8528428093645485,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100,5500,9.4,31,10345,Low
0,145,jaguar,gas,std,four,sedan,rwd,front,113.0,0.9851924975320829,0.9707112970711296,0.882943143812709,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15.666666666666666,19,32250,High
1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,0.7852912142152023,0.895397489539749,0.9046822742474917,1890,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000,7.833333333333333,31,5195,Low
1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,0.7852912142152023,0.895397489539749,0.9046822742474917,1900,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000,7.580645161290323,38,6095,Low
1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,0.7852912142152023,0.895397489539749,0.9046822742474917,1905,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000,7.580645161290323,38,6795,Low
1,113,mazda,gas,std,four,sedan,fwd,front,93.1,0.8232971372161896,0.895397489539749,0.9046822742474917,1945,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000,7.580645161290323,38,6695,Low
1,113,mazda,gas,std,four,sedan,fwd,front,93.1,0.8232971372161896,0.895397489539749,0.9046822742474917,1950,ohc,four,91,2bbl,3.08,3.15,9.0,68,5000,7.580645161290323,38,7395,Low
1,129,mazda,gas,std,two,hatchback,fwd,front,98.8,0.8775913129318855,0.9274755927475592,0.8979933110367894,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,9.038461538461538,32,8845,Low
0,115,mazda,gas,std,four,sedan,fwd,front,98.8,0.8775913129318855,0.9274755927475592,0.9280936454849499,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,9.038461538461538,32,8495,Low
1,129,mazda,gas,std,two,hatchback,fwd,front,98.8,0.8775913129318855,0.9274755927475592,0.8979933110367894,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,9.038461538461538,32,10595,Low
0,115,mazda,gas,std,four,sedan,fwd,front,98.8,0.8775913129318855,0.9274755927475592,0.9280936454849499,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,9.038461538461538,32,10245,Low
0,115,mazda,gas,std,four,hatchback,fwd,front,98.8,0.8775913129318855,0.9274755927475592,0.9280936454849499,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,9.038461538461538,32,11245,Low
0,118,mazda,gas,std,four,sedan,rwd,front,104.9,0.863770977295163,0.9218967921896791,0.9096989966555185,2670,ohc,four,140,mpfi,3.76,3.16,8.0,120,5000,12.368421052631579,27,18280,Medium
-1,93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,110.0,0.9422507403751235,0.9804741980474198,0.9448160535117057,3515,ohc,five,183,idi,3.58,3.64,21.5,123,4350,10.681818181818182,25,25552,High
-1,93,mercedes-benz,diesel,turbo,four,wagon,rwd,front,110.0,0.9422507403751235,0.9804741980474198,0.9816053511705687,3750,ohc,five,183,idi,3.58,3.64,21.5,123,4350,10.681818181818182,25,28248,High
0,93,mercedes-benz,diesel,turbo,two,hardtop,rwd,front,106.7,0.9254689042448174,0.9804741980474198,0.9180602006688964,3495,ohc,five,183,idi,3.58,3.64,21.5,123,4350,10.681818181818182,25,28176,High
-1,93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,115.6,1.0,1.0,0.9414715719063546,3770,ohc,five,183,idi,3.58,3.64,21.5,123,4350,10.681818181818182,25,31600,High
3,142,mercedes-benz,gas,std,two,convertible,rwd,front,96.6,0.8899308983218165,0.9832635983263598,0.8494983277591973,3685,ohcv,eight,234,mpfi,3.46,3.10,8.3,155,4750,14.6875,18,35056,High
2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,0.7764067127344522,0.898186889818689,0.8494983277591973,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,6.351351351351352,41,5389,Low
2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,0.7764067127344522,0.898186889818689,0.8494983277591973,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,7.580645161290323,38,6189,Low
2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,0.7764067127344522,0.898186889818689,0.8494983277591973,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,7.580645161290323,38,6669,Low
1,161,mitsubishi,gas,turbo,two,hatchback,fwd,front,93.0,0.7764067127344522,0.8898186889818688,0.8494983277591973,2145,ohc,four,98,spdi,3.03,3.39,7.6,102,5500,9.791666666666666,30,7689,Low
3,153,mitsubishi,gas,turbo,two,hatchback,fwd,front,96.3,0.8538993089832182,0.9121338912133892,0.8260869565217391,2370,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,10.217391304347826,30,9959,Low
3,153,mitsubishi,gas,std,two,hatchback,fwd,front,96.3,0.8538993089832182,0.9121338912133892,0.8260869565217391,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,9.4,32,8499,Low
1,125,mitsubishi,gas,std,four,sedan,fwd,front,96.3,0.8509378084896349,0.9121338912133892,0.8628762541806021,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,9.4,32,6989,Low
1,125,mitsubishi,gas,std,four,sedan,fwd,front,96.3,0.8509378084896349,0.9121338912133892,0.8628762541806021,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,9.4,32,8189,Low
1,125,mitsubishi,gas,turbo,four,sedan,fwd,front,96.3,0.8509378084896349,0.9121338912133892,0.8628762541806021,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,10.217391304347826,30,9279,Low
-1,137,mitsubishi,gas,std,four,sedan,fwd,front,96.3,0.8509378084896349,0.9121338912133892,0.8628762541806021,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,10.217391304347826,30,9279,Low
1,128,nissan,gas,std,two,sedan,fwd,front,94.5,0.815893385982231,0.8898186889818688,0.911371237458194,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.580645161290323,37,5499,Low
1,128,nissan,diesel,std,two,sedan,fwd,front,94.5,0.815893385982231,0.8898186889818688,0.911371237458194,2017,ohc,four,103,idi,2.99,3.47,21.9,55,4800,5.222222222222222,50,7099,Low
1,128,nissan,gas,std,two,sedan,fwd,front,94.5,0.815893385982231,0.8898186889818688,0.911371237458194,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.580645161290323,37,6649,Low
1,122,nissan,gas,std,four,sedan,fwd,front,94.5,0.815893385982231,0.8898186889818688,0.911371237458194,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.580645161290323,37,6849,Low
1,103,nissan,gas,std,four,wagon,fwd,front,94.5,0.8400789733464955,0.8898186889818688,0.8946488294314382,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.580645161290323,37,7349,Low
1,128,nissan,gas,std,two,sedan,fwd,front,94.5,0.815893385982231,0.8898186889818688,0.911371237458194,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.580645161290323,37,7299,Low
1,128,nissan,gas,std,two,hatchback,fwd,front,94.5,0.8173741362290227,0.8898186889818688,0.8913043478260869,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.580645161290323,37,7799,Low
1,122,nissan,gas,std,four,sedan,fwd,front,94.5,0.815893385982231,0.8898186889818688,0.911371237458194,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.580645161290323,37,7499,Low
1,103,nissan,gas,std,four,wagon,fwd,front,94.5,0.8400789733464955,0.8898186889818688,0.8946488294314382,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.580645161290323,37,7999,Low
2,168,nissan,gas,std,two,hardtop,fwd,front,95.1,0.8015794669299112,0.8898186889818688,0.8913043478260869,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.580645161290323,37,8249,Low
0,106,nissan,gas,std,four,hatchback,fwd,front,97.2,0.8558736426456072,0.9093444909344491,0.9147157190635452,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,8.703703703703704,34,8949,Low
0,106,nissan,gas,std,four,sedan,fwd,front,97.2,0.8558736426456072,0.9093444909344491,0.9147157190635452,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,8.703703703703704,34,9549,Low
0,128,nissan,gas,std,four,sedan,fwd,front,100.4,0.8968410661401777,0.9274755927475592,0.9214046822742475,3095,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200,13.823529411764707,22,13499,Low
0,108,nissan,gas,std,four,wagon,fwd,front,100.4,0.9111549851924975,0.9274755927475592,0.9381270903010034,3296,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200,13.823529411764707,22,14399,Low
0,108,nissan,gas,std,four,sedan,fwd,front,100.4,0.9111549851924975,0.9274755927475592,0.9214046822742475,3060,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200,12.368421052631579,25,13499,Low
3,194,nissan,gas,std,two,hatchback,rwd,front,91.3,0.8425468904244817,0.9470013947001396,0.831103678929766,3071,ohcv,six,181,mpfi,3.43,3.27,9.0,160,5200,12.368421052631579,25,17199,Medium
3,194,nissan,gas,turbo,two,hatchback,rwd,front,91.3,0.8425468904244817,0.9470013947001396,0.831103678929766,3139,ohcv,six,181,mpfi,3.43,3.27,7.8,200,5200,13.823529411764707,23,19699,Medium
1,231,nissan,gas,std,two,hatchback,rwd,front,99.2,0.8810463968410661,0.9470013947001396,0.831103678929766,3139,ohcv,six,181,mpfi,3.43,3.27,9.0,160,5200,12.368421052631579,25,18399,Medium
0,161,peugot,gas,std,four,sedan,rwd,front,107.9,0.9215202369200395,0.9539748953974896,0.948160535117057,3020,l,four,120,mpfi,3.46,3.19,8.4,97,5000,12.368421052631579,24,11900,Low
0,161,peugot,diesel,turbo,four,sedan,rwd,front,107.9,0.9215202369200395,0.9539748953974896,0.948160535117057,3197,l,four,152,idi,3.70,3.52,21.0,95,4150,8.392857142857142,33,13200,Low
0,161,peugot,gas,std,four,sedan,rwd,front,107.9,0.9215202369200395,0.9539748953974896,0.948160535117057,3075,l,four,120,mpfi,3.46,2.19,8.4,95,5000,12.368421052631579,24,15580,Medium
0,161,peugot,diesel,turbo,four,sedan,rwd,front,107.9,0.9215202369200395,0.9539748953974896,0.948160535117057,3252,l,four,152,idi,3.70,3.52,21.0,95,4150,8.392857142857142,33,16900,Medium
0,161,peugot,gas,std,four,sedan,rwd,front,107.9,0.9215202369200395,0.9539748953974896,0.948160535117057,3075,l,four,120,mpfi,3.46,3.19,8.4,97,5000,12.368421052631579,24,16630,Medium
0,161,peugot,diesel,turbo,four,sedan,rwd,front,107.9,0.9215202369200395,0.9539748953974896,0.948160535117057,3252,l,four,152,idi,3.70,3.52,21.0,95,4150,8.392857142857142,33,17950,Medium
0,161,peugot,gas,turbo,four,sedan,rwd,front,108.0,0.9215202369200395,0.9525801952580194,0.9364548494983278,3130,l,four,134,mpfi,3.61,3.21,7.0,142,5600,13.055555555555555,24,18150,Medium
1,119,plymouth,gas,std,two,hatchback,fwd,front,93.7,0.7764067127344522,0.8898186889818688,0.8494983277591973,1918,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,6.351351351351352,41,5572,Low
1,119,plymouth,gas,turbo,two,hatchback,fwd,front,93.7,0.7764067127344522,0.8898186889818688,0.8494983277591973,2128,ohc,four,98,spdi,3.03,3.39,7.6,102,5500,9.791666666666666,30,7957,Low
1,154,plymouth,gas,std,four,hatchback,fwd,front,93.7,0.7764067127344522,0.8898186889818688,0.8461538461538463,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,7.580645161290323,38,6229,Low
1,154,plymouth,gas,std,four,sedan,fwd,front,93.7,0.8257650542941758,0.8898186889818688,0.8494983277591973,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,7.580645161290323,38,6692,Low
1,154,plymouth,gas,std,four,sedan,fwd,front,93.7,0.8257650542941758,0.8898186889818688,0.8494983277591973,2191,ohc,four,98,2bbl,2.97,3.23,9.4,68,5500,7.580645161290323,38,7609,Low
-1,74,plymouth,gas,std,four,wagon,fwd,front,103.3,0.861796643632774,0.9009762900976289,1.0,2535,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,9.791666666666666,30,8921,Low
3,186,porsche,gas,std,two,hatchback,rwd,front,94.5,0.8336623889437316,0.9525801952580194,0.8394648829431439,2778,ohc,four,151,mpfi,3.94,3.11,9.5,143,5500,12.368421052631579,27,22018,Medium
3,150,saab,gas,std,two,hatchback,fwd,front,99.1,0.9210266535044422,0.9274755927475592,0.9381270903010034,2658,ohc,four,121,mpfi,3.54,3.07,9.31,110,5250,11.19047619047619,28,11850,Low
2,104,saab,gas,std,four,sedan,fwd,front,99.1,0.9210266535044422,0.9274755927475592,0.9381270903010034,2695,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250,11.19047619047619,28,12170,Low
3,150,saab,gas,std,two,hatchback,fwd,front,99.1,0.9210266535044422,0.9274755927475592,0.9381270903010034,2707,ohc,four,121,mpfi,2.54,2.07,9.3,110,5250,11.19047619047619,28,15040,Low
2,104,saab,gas,std,four,sedan,fwd,front,99.1,0.9210266535044422,0.9274755927475592,0.9381270903010034,2758,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250,11.19047619047619,28,15510,Medium
3,150,saab,gas,turbo,two,hatchback,fwd,front,99.1,0.9210266535044422,0.9274755927475592,0.9381270903010034,2808,dohc,four,121,mpfi,3.54,3.07,9.0,160,5500,12.368421052631579,26,18150,Medium
2,104,saab,gas,turbo,four,sedan,fwd,front,99.1,0.9210266535044422,0.9274755927475592,0.9381270903010034,2847,dohc,four,121,mpfi,3.54,3.07,9.0,160,5500,12.368421052631579,26,18620,Medium
2,83,subaru,gas,std,two,hatchback,fwd,front,93.7,0.7744323790720632,0.8842398884239888,0.8979933110367894,2050,ohcf,four,97,2bbl,3.62,2.36,9.0,69,4900,7.580645161290323,36,5118,Low
2,83,subaru,gas,std,two,hatchback,fwd,front,93.7,0.7793682132280356,0.8870292887029289,0.8979933110367894,2120,ohcf,four,108,2bbl,3.62,2.64,8.7,73,4400,9.038461538461538,31,7053,Low
2,83,subaru,gas,std,two,hatchback,4wd,front,93.3,0.7764067127344522,0.8898186889818688,0.931438127090301,2240,ohcf,four,108,2bbl,3.62,2.64,8.7,73,4400,9.038461538461538,31,7603,Low
0,102,subaru,gas,std,four,sedan,fwd,front,97.2,0.8489634748272459,0.9121338912133892,0.8779264214046824,2145,ohcf,four,108,2bbl,3.62,2.64,9.5,82,4800,7.34375,37,7126,Low
0,102,subaru,gas,std,four,sedan,fwd,front,97.2,0.8489634748272459,0.9121338912133892,0.8779264214046824,2190,ohcf,four,108,2bbl,3.62,2.64,9.5,82,4400,8.392857142857142,33,7775,Low
0,102,subaru,gas,std,four,sedan,fwd,front,97.2,0.8489634748272459,0.9121338912133892,0.8779264214046824,2340,ohcf,four,108,mpfi,3.62,2.64,9.0,94,5200,9.038461538461538,32,9960,Low
0,102,subaru,gas,std,four,sedan,4wd,front,97.0,0.8489634748272459,0.9121338912133892,0.9080267558528428,2385,ohcf,four,108,2bbl,3.62,2.64,9.0,82,4800,9.791666666666666,25,9233,Low
0,102,subaru,gas,turbo,four,sedan,4wd,front,97.0,0.8489634748272459,0.9121338912133892,0.9080267558528428,2510,ohcf,four,108,mpfi,3.62,2.64,7.7,111,4800,9.791666666666666,29,11259,Low
0,89,subaru,gas,std,four,wagon,fwd,front,97.0,0.8563672260612044,0.9121338912133892,0.8862876254180603,2290,ohcf,four,108,2bbl,3.62,2.64,9.0,82,4800,8.392857142857142,32,7463,Low
0,89,subaru,gas,std,four,wagon,fwd,front,97.0,0.8563672260612044,0.9121338912133892,0.8862876254180603,2455,ohcf,four,108,mpfi,3.62,2.64,9.0,94,5200,9.4,31,10198,Low
0,85,subaru,gas,std,four,wagon,4wd,front,96.9,0.8568608094768015,0.9121338912133892,0.9180602006688964,2420,ohcf,four,108,2bbl,3.62,2.64,9.0,82,4800,10.217391304347826,29,8013,Low
0,85,subaru,gas,turbo,four,wagon,4wd,front,96.9,0.8568608094768015,0.9121338912133892,0.9180602006688964,2650,ohcf,four,108,mpfi,3.62,2.64,7.7,111,4800,10.217391304347826,23,11694,Low
1,87,toyota,gas,std,two,hatchback,fwd,front,95.7,0.7833168805528133,0.8870292887029289,0.911371237458194,1985,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800,6.714285714285714,39,5348,Low
1,87,toyota,gas,std,two,hatchback,fwd,front,95.7,0.7833168805528133,0.8870292887029289,0.911371237458194,2040,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800,7.580645161290323,38,6338,Low
1,74,toyota,gas,std,four,hatchback,fwd,front,95.7,0.7833168805528133,0.8870292887029289,0.911371237458194,2015,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800,7.580645161290323,38,6488,Low
0,77,toyota,gas,std,four,wagon,fwd,front,95.7,0.8376110562685093,0.8870292887029289,0.988294314381271,2280,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800,7.580645161290323,37,6918,Low
0,81,toyota,gas,std,four,wagon,4wd,front,95.7,0.8376110562685093,0.8870292887029289,0.988294314381271,2290,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800,8.703703703703704,32,7898,Low
0,91,toyota,gas,std,four,wagon,4wd,front,95.7,0.8376110562685093,0.8870292887029289,0.988294314381271,3110,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800,8.703703703703704,32,8778,Low
0,91,toyota,gas,std,four,sedan,fwd,front,95.7,0.8208292201382035,0.898186889818689,0.8862876254180603,2081,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800,7.833333333333333,37,6938,Low
0,91,toyota,gas,std,four,hatchback,fwd,front,95.7,0.8208292201382035,0.898186889818689,0.882943143812709,2109,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800,7.833333333333333,37,7198,Low
0,91,toyota,diesel,std,four,sedan,fwd,front,95.7,0.8208292201382035,0.898186889818689,0.8862876254180603,2275,ohc,four,110,idi,3.27,3.35,22.5,56,4500,6.911764705882353,36,7898,Low
0,91,toyota,diesel,std,four,hatchback,fwd,front,95.7,0.8208292201382035,0.898186889818689,0.882943143812709,2275,ohc,four,110,idi,3.27,3.35,22.5,56,4500,6.184210526315789,47,7788,Low
0,91,toyota,gas,std,four,sedan,fwd,front,95.7,0.8208292201382035,0.898186889818689,0.8862876254180603,2094,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800,6.184210526315789,47,7738,Low
0,91,toyota,gas,std,four,hatchback,fwd,front,95.7,0.8208292201382035,0.898186889818689,0.882943143812709,2122,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800,8.392857142857142,34,8358,Low
0,91,toyota,gas,std,four,sedan,fwd,front,95.7,0.8208292201382035,0.898186889818689,0.882943143812709,2140,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800,8.392857142857142,34,9258,Low
1,168,toyota,gas,std,two,sedan,rwd,front,94.5,0.832675222112537,0.8926080892608089,0.8795986622073579,2169,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800,8.10344827586207,34,8058,Low
1,168,toyota,gas,std,two,hatchback,rwd,front,94.5,0.832675222112537,0.8926080892608089,0.8795986622073579,2204,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800,8.10344827586207,34,8238,Low
1,168,toyota,gas,std,two,sedan,rwd,front,94.5,0.832675222112537,0.8926080892608089,0.8795986622073579,2265,dohc,four,98,mpfi,3.24,3.08,9.4,112,6600,9.038461538461538,29,9298,Low
1,168,toyota,gas,std,two,hatchback,rwd,front,94.5,0.832675222112537,0.8926080892608089,0.8795986622073579,2300,dohc,four,98,mpfi,3.24,3.08,9.4,112,6600,9.038461538461538,29,9538,Low
2,134,toyota,gas,std,two,hardtop,rwd,front,98.4,0.8696939782823296,0.914923291492329,0.8695652173913044,2540,ohc,four,146,mpfi,3.62,3.50,9.3,116,4800,9.791666666666666,30,8449,Low
2,134,toyota,gas,std,two,hardtop,rwd,front,98.4,0.8696939782823296,0.914923291492329,0.8695652173913044,2536,ohc,four,146,mpfi,3.62,3.50,9.3,116,4800,9.791666666666666,30,9639,Low
2,134,toyota,gas,std,two,hatchback,rwd,front,98.4,0.8696939782823296,0.914923291492329,0.8695652173913044,2551,ohc,four,146,mpfi,3.62,3.50,9.3,116,4800,9.791666666666666,30,9989,Low
2,134,toyota,gas,std,two,hardtop,rwd,front,98.4,0.8696939782823296,0.914923291492329,0.8695652173913044,2679,ohc,four,146,mpfi,3.62,3.50,9.3,116,4800,9.791666666666666,30,11199,Low
